vendor,pickup_zone,dropoff_zone,trip_time_by_sec,pickup_time,dropoff_time,fare,tips,total,verbose
yellow,10,16,1152,2020-04-17 12:24:20.098457,2020-04-17 12:43:32.098457,46.08,4.61,50.69,ud9uWN9kpHTREyZJhOz6UeBquT1nPPyOfWjMFpcETWqGxhJ128XNJlUZiEeTdDHC6KEuIPFllQWEVAYDfzegM2NlaSWt1wDnqo1iLv77M2LdeKbjWbYYLpiCPXeQ28u4qzlekOdN4DithnRBd3ksZzdbLXHVOWk8Ehg7ow8fhoFrXPFyOXIvJTXmSsdOFiXuUBTjABgllFPY9Gj9r7MXvxDlm1Bl4n898NPztbMi4KOkuIDBRxYZq8BEO4AX5QIZxdgutT0mN5nRfVbzbY2mUGuehXMIbM8lNic5rEiWyEg2SyVgxFWIE2VE0Ul5v4ZLaLqbmk9PqlJzneXHPFSmMJH4Amtz5jDuwQdja9eZ2H2BfUIt17kWGcZaMfImDTrjY7mpFIi0gF2pR1cbnmd5Gq3t3A5qYSJMkGjEoc6WL3uPNebhO22bNfI0SafHaD5nJsFjJgqv3CsgovThR5CSc93e8ovjamsRIoL3ApfEkUc4D285Nc2DSvBMCLRj6Jrg1jQs0qoLWQ2gNNHDdGGGuiSwbcF7OOj66FyhL197x1H3vA1M4nMfp0sxoibQJTZfromM1K4JEhE0qYNpVWXjFsVhjwdd4gdq9pcvSIm4A4iubTDCCktLVWKjzGkooKfAyZQY9GCSHdStvnTkwL4nmdeS1waYzRGkMdEvzlHTJCLS51hqhjbLPZJHPaWZUbJWciKmMxhU9TmixGd7ZF1Qe2r7XeVACMkUTlFFqj9d2eE6RY2L6ydfqSsUzMXa5HRB
yellow,10,20,2210,2020-04-17 12:24:20.099492,2020-04-17 13:01:10.099492,110.50,11.05,121.55,NNB1bfLsXGW9KCcvG1LUViky37zSl21Jsubc7aEVoYYQLrH6L6bWhzclAGQQ2kJLdiFDhfAOc6dZLMOKLwTSfaV07wVsKtwzYudFhyVCghfxVmQSqVBABvqf0prqcPOraS4wd00N7QkNSkCCzuBccGjSxIIEDIfbmCmkA3MAp1XqbpnrV5Op0vQ8QQ4qw8xVkW1cfn2jE0YHYH5gN2DluoEGceTeD8TFHBsuQnCGwoq9zL0drOsZrobpOymvqN7NyO8Qu8Hk5r5eHzfr8hV3a1vpTKEPn10Uu2E4HpmS02Z0g9AvO9u2xH2jbsjTs2YYamnSEtDZzF1QTrletPHKqGkfMFiy266OIcDlbMkg1nogM52MXuQtP1XgQsZtl6eyjkxXRJVekoCcZ438LKLFVYOpedKqRArFiPxNY8NoUpioPMrLQCrxOmKM9WWHY3hqCzHv4sof2JcNm2WfCMRFh2DHFHVL9e22vFwQ0T8Tm3WxfYr7AHUTUqD1haGNqlPXE18BYjrudTekKAfQKbxV6mwaj5lH0fHpZ8EqtLG7MdBRrnwVjAu37as4WJAUm2XSReriWE5g996n1xSnysGP0xkO6H6QmgD8WJXKwtdmmL1vr0cphxwwgYXj1S53RZ4c2hQU1VkoPVY25cxNc10l3vss7EX9c9qjEtojtcJeaWm5WOdxkpidP2MakDOI5RsTqlvO98UtSnAiF2QXnZHiYMV29fZ7vHoLTN3zejlWx4zm4sDWm24FdwS1zf6DNksL
yellow,3,8,7099,2020-04-17 12:24:20.100682,2020-04-17 14:22:39.100682,212.97,12.78,225.75,ZnX6AlC0mrB0VgTEuHMAlaLw7WZCIfbyG4diSij2BMrAXwGkdbiNlyIBwAqVYfZXKy95gNUotLNWItzlgAeskhYGbhOgu17ZordVq4NNxiD4xNpuVmS94upuZuNZZLrsuytlMQOTpIDojD88OavVG0WbOYV75rR00PWXX0iARdTABMOW8lYcFEvSY9Sjae0hTEY0p4bEkKtLKLed4LCbvOtxrJTbxbtzpIL8AGPueqPcPii0B8yw4FP8alUi1KMcwTPKgcama5jHyeAhkPJvJit2b8fUIp77rxvCv8LPhvZHGhSJdOpnJmCPAptmQERwAKN0lDZXea79Bmi6wg4NonSBe2OqYL6bWG5Sg4lelH6ZWowqfcY11sA3rlU9a3oBMnJQq09b7iBTlO3pEZcJR7zmLinSI5za6issh2zM4xhNpKygh3GGMVcbJwzCfzBhYo3PXe1T4t0ThO6wRwITSo4vELQlN0HnKsqWKdimmEZDvNc2b6I3ci4VUDVBSHBKp8xJdvyFWv2MO0pkW4Te8KDpnhGva8GmI3LeFcOkDaKggS47VX4crTYB17oGmGGhukSAePc3MFQqXEmcu1mIwFYJwmuUIluPOcehxYxfWuy1oFuLmq9xwhg8Nn9bFSqttyupFWX1rHSAPyXGAvuSW1vsbh2ZtslFzWdcULz4RG7BjdCi472KnQpITOU06Mkr7C5Q8eqgTO4wxMzzeXAOUL4rc8NypRsncpAVmmGELLWDR1hxSccPlkEVciMZks3m
green,15,17,4342,2020-04-17 12:24:20.101718,2020-04-17 13:36:42.101718,173.68,8.68,182.36,ASsRfNH4aiwq4fxRsBDDEa24tXcJU9xrAfy2YcKAnesVPUYwtUoeJxo85XndVUiw08w3qRU2mKV9B8g04aF4UDs7IZz48bl3xEWEmKMgPvXKBJtBkJUetkAbsfc8B9sjEao24nFGqZEgkebc0D8Gx9pGVBOLbHSODIb4adFQvVimye51Ls0qLIDpPAivIJ803SXOUfyKBbcutWq7WZkijYJUZEeNZNv0rJ2U97Yf9xzOYkmV3Q5zyHXD2eJiwGJ16HzvZZvuaeswgaITWt42SlpP604NhQQLHS25SmauKFvVBuElRTxvB75vkHP7l7bSlIBB5u0gi4cblWTfdV9CfiPV1gCRicOhsjHUHgatkXz21fZRa6fVRWntqvItHNyMj95CNni5WXNmonM4VA8sJ4fKj5Xw4NcQfvrUxuOXkUXurNH1ZkPT0txCUxFHO4hEQX6XICu4BPsWCjEBw7wkNiHFdQr8Ebu3s3VIE447EQCee4x2C1yxX0rCfLPKLQIYIRZWUPNuNWkswJKQCuNJ6RhzT1ZEtoAKCJRUWWfAQElvO0VgdnpheWYGnZvun8Or4arvQiBfulw34BTrzUKvsLCF9X1zw7Z3d0f4mVKVuiKs4MvuRkmGDjLMbKcwaQ3xZCElNUdgNTj5h30zu2kk58ocnCidtZCsMcTUoSOa4jhiUMxHAH9pWJtk5EFAz8Ryy7X4HWm9xjFK2LJYNTBlhevsydoXzggPyWO5UjmpFkWgKMgzR5J4pAjjpsfpdBoH
green,20,14,3468,2020-04-17 12:24:20.102833,2020-04-17 13:22:08.102833,173.40,6.94,180.34,kUUTLRlTdiPY2qDfyV44Aad2F91pGGIyej3xgN74nI0OHL6xVyXDN7qPbkulre37LzjRv1eoXpPY4FhY9JbieCZ9MtJcpIq7X0mNXEP9z9l7EvemJJbYSL3xA9t1hKzqSYkZxzJu0CkZUEOGr9dY0G3C2LhxQgNoaywCd1TTZJyxGjprmpsLiQXLhvcQvKptL0xESvixOqr6WB1EI2EWHf8dq1S8ynvVQYTJE21rKRgwSEFHFUNp5MHSlmuXZ4faa8SMLcSGYnvll759FV5s21Xo2paJaob4wIHVXBDF0C5mUu7U4bqGu1aIzXYqWs5gwjglPXFaKioNodpROGXcRInVojVBAPuYj1GBAFx9onmbx92f0hsiSzfOxcG8CEuXLNhIz5sAFZVAuUZLy84VfziflntOfkH3a3IIm7MhCjnHQhuoDHL9sHUUpoECj1sVdrGE4ybLSguYd2WIe8TI2EnFshOo9vlxB4tTyizB9Zu5gcJvTtI1ZFyV1pBfJLiieF4wbottSpla287FSlTWMrpvxJkD7p0vwL80u1h8FNbF1XVV97Al5MqHjZGnbDOx12JHUQOJEyDr8X3lIgE9CzsZxNsvOrky0r16Zk5CU6gMw86gzLf9eWoR6qcOTXXf2DdBtRF9rUBEPVzziKsrLaOhuJ2FySGG6kLM1hLZZGqrkLUkqQyZtI02Y7mCMRIFgY02l1ehnfmAhxEOGVLSl1J8wYos8DmuC5fIbVtvbTv10ZwTFP6fs4KtbRlW5s4w
blue,13,8,3425,2020-04-17 12:24:20.103832,2020-04-17 13:21:25.103832,137.00,13.70,150.70,3MoGQRdZPqedUbwRFnqHj4lG7nBvApLBbVL9tt3bmEwzo1ujxqxPASADyPP4nKrJ7FcBr39qoSbvWPZn22RKj9u9ZxpwYcD1S6383bnCzR3wF0ROYhghVXHTtRHZ8d3nhYz4dBFVfrnTP682VGLAIbdFPzHWKgigMicRKSchYZp1IOh3gPCpinlIMiOnHkpFewVFm0zaHrD1RQD7LtPrRT0u8B5CRODC9UC94ovsxPphzR5wyjAOMLKxmAnFEVmQmqkoZEnDGoibgkJ0i5BBj2KPaYPq07CiEv1EcoN3U2gMiE151nhH4HxNDH9pvF7D0PkqFDLRnmPWbuf2an3UBI4zK3MbYE8IgBPPQFwIAJHCtsrJmG0HKVt20ZKEW8XBhhIKqpqXZbc5P4AE4KiFNLKEo3d49y3URCZ97v22afJYwTFaj5KnXCpmVgFsOLpg8IQmqTAshfcQDTcyAGUMGlD6aBxLSNYQi5YLwLJEPca1M31Q9jHp6ZiWyVSzm7cwka6BBzDLlDKqQ4xE8f4lw2iULGyYfzBxAqkaW5fh8bB95OXp0QM3eQtKvpWRgJ8me5RQmE0IXd55vPlPyKBghKrop1lX0zJpFdiAysNHZh4E3jYRDzxGyC57odzgjRSr3EEVA6ulcM6Y0PEuW1jYAG6NsndV4ilaPK3FPzXTm7PQ8qN4Ys41JAQu9YGsVkDV9DW3KerFaqsfQ4Mh1qm4fUbcV7y4a6Rv1yO9ZivcZB8U0Eg1lKvvXGi9zQu57h7f
green,2,18,6559,2020-04-17 12:24:20.104893,2020-04-17 14:13:39.104893,196.77,19.68,216.45,s8fXSRHj4mGE1hKIi1IAZPpktcT7qtNwDdMnlo06ZfeqRQWWg3hvkR0gfBJZG5muIR6SuBrMzd2Rp1PL6NkkBIHUTvI2S18aMFJC6N6eDwIF8cyV7W9w7N6Uu28TRUHfrqnDsZlyPwrjmwCD7yENoAb5bVEpqO4CLT5AVH7O7qYalFhO7FsxpTaGCyPal2bFqezeww6MPpvi96g9KnlSe3SUxJwiseF18E53bMJeleIGWBisXXtLdQzfJ83HcH2WV0dqgRXUL7HC8b8WLXrAIABtvnOJYOIvzMCq3Gp1V7XitMMS2NP9Mglt3Ue2unfpZdbZN4BLjNno3IlidvX7Evzm0BRb3JEzpejQ8kq9gfBUzGCLCfo3BPeWjXbSCTlnNUQcFwhoT32BVJyeMpb4A21eDBd8VYDuwAUGFivTgH5pr63fDVYHiayI0mNsDSBdrFZ4UzY9vTKtu8GCicL0k7fPJkcRUCtjWoR8qC7vJA8KAuRpzLqVkP3m8KCKG34l6mK7eYa3OEHgIIB8qRDOEbKlpLUrKTCxAo8kDsJ56QsOil6FzM2ES8yTfqpdnm2JAvbGR75fdKEyPv7T4vtx8keOcyQ4nrtlj1kVrMWeot9lyln4jFp17d04mmIovhGkRhwf45KZ4PxdBFmdVIOL0UfIVxxYQMMkMVRFtXJtgx2gNDBfrH4kyS17B2lXzY7ctldVDWimrAmdrYEoyNY83fwx2ZJ4Fcn4EcPh1zjFNzVlkvrPIKuWi5d4G3VeFJWj
green,16,7,5117,2020-04-17 12:24:20.105882,2020-04-17 13:49:37.105882,204.68,14.33,219.01,8jTovBrRWaFfuBk5RmDLaUKl3kOfMktDoxqpJJeoVt2tzAzJ1pew0p8xpbWfxSJY8AbEntrLbQoIYR9M3viezmUbBN3hUqHQ8DOO4NnlF84OgcKJgENs992twxAeEHZyi0yNQrpm1fB9pE17PLx1MkXeBBTNE1BcmesqEjNzd1CMF8l1o4t9hjdWSd0yz7a3FmZNQHH6d0YPxLtM7CYulVxLjiKZ0bdhJuO6VEk9EPW8wThh987IZPEoKjkmRT5ZA5BekQYtcn8QodopfqTsHXwwU2KJmfCc2AWZGhcwLwpcSf8GKmmLVgPH74HM2hQc4s9So7wKU2aVCWezwESNRqrO86eaOr0cL7MGnD4Y0jR092Wmd5QRlC4PFAZPSYTGkBgXOeyk8y2qHqDx3XwkXcNZiT9HfvaDbjZ6CegOqSUYLKrM1IerfdOJIWBjzhoROgi4nBHkgkTfznXqQqg3PkvkN0bUZs5n8kiq9a00vrUiyehtLPwy6jQyWXf0E7QqCSgB8kwvjeHa15uoCEI7My1gknBJT3BXlyad2Ny6Z5sa0WRvPYllnJkyGOIyuuCTiUQ4OOb6KL9F88zU7cUreeSdDFCbseKmw5PvznUr6f4uVjuZmBKshEhsp1DBh4WrMJT9l3HEFdBIrG74V4BEH63z6nQkdpcyQlT51Bv4HZT2m495mzFf9RvEBW0YSvzM9aix0qOnKN7gyu7BiN1o8jPYaTu7peXwWtqa8TunZC9tHVOkeIFJhtI5qFSpR2Vw
green,20,18,5305,2020-04-17 12:24:20.106959,2020-04-17 13:52:45.106959,159.15,14.32,173.47,Jq5stme29XiUI7iXd96DpHjGWvqnyuX8XuYKqf9TsclwfXdnanDIsAWykUil6PEpV4AGXgoS8RTAEGAJgBko4YrHxooauRoYEfDFPyAtifQqRycFPVYTrwhMikmRLQK0QaRo00xf3aY2fE63woVZs95tNUEPk7b6dTItjp3DQ0pU8OHZyKUXBTy96NgDjAyhI5ltHzhqzjXljR6LLiRAsjach81nKB8aKuqWDpu7oqZaQ2U4OjmVyJq1avDOgoJ2WOSDHBBHC9suWv9mIkv2IhQy9l2kambOD4MICkDJpfOTQxdtx5M93nlo2szyRG4kfQpzojpyLKkRQq3wj18l1NoLnl8zwz8eg2oYMeHVNdOphlOkzqAgJQses14lNt20DOsRNnId8p18LDJv0HoVjkTeqV9MeWFaaiE9VZW1kbzB73GO6FAFmDDZlUfo2bWzPBKEQsId4KgdpUQaTl43UO1Q8FGswHaTt7WshCEHSziQbYtU5NyhfKUwkHodTCQRaHyKrYVxh3iS63AJ7hkDFYSgengnDzQaD9uqxak9SdQtpcYsWMjrsAt3dc9PQf5hNuyFOtLUvdi8UKtcQqUPHw0U4QMIc0pUhb8hqIhYk6ljN4iM0HFKhiaoDefZMUZ5I3VT7VRJkMmVkeFquD95a5fWJ16krU3zjZGrf7ZelP8LfkMVBr9wQC3tcTFEOar0MfZu9xLKJ7IAsy27BNv4BIzd1ouWObXGGk8kgJN4NakDujsSeb8aIVjZnTRK168w
blue,19,16,2993,2020-04-17 12:24:20.107938,2020-04-17 13:14:13.107938,119.72,10.77,130.49,Ad36NT6gHxaHHluwWc5O4vrwLDYjTVxodevLeF3bcwvjTTeDuAAjq7XV0mlcqniLU9zunlHZaVR3ZQpOFFlVsh0G6g2oQ4OYAruXDmOu7Lz6YkTcV92riiqNWDm3Sep9adGBmZeebt3a2Sf8aqIXFC0J8OVWEEGtqtjmJ7cqgLrm0kKloFnB1TjOdt2HrGaEekhDHSwHixzE7668wfuurQ029FfjaJfqQRwW72325kFPxncCjZ0xisrzsUoys9vsAvCieHLjR9hHQ95F2DXjUTVstsgoihY2vfPLgAjmT5aCa26IpRzbfG7skDzHYO8IKX8DC2c31Doo9W5305G5c60d4qgfxYQvG9zQnIF0YpcMu45r3TenjEOp4UOdkeKvOXqrKqwOBQw3T81BDWPOETGn2OmPqyCCEAQCPi4csRaaomKIpqLf6CNF1fIS1zfN0dJqBhrpyWqv5OAbFw2aQ0pDDb4bOb4HtL2KCubfj1Oqg57SJRfpTFw1LfjdDhoYpCdnTjT9OPuMGsDsg9kzRYuxKZh29oROekdSx5VhG8FWIFA53g0O89iXLynBOOf659Hs8OKFafIVZBzQNu7bMwUT6D89PwRrtDvWL0PuAZeDxXISQxsUgf0qcgYECwcCk8ohnsEEbu2CGtqATXVDmIpWW6S9rwUQWyDFML5Ip0YtiBtabPe6tPMSsEluwad0jeN8vV1QEgWZcaJoEzDYiAD1Zeg74XBl4SIVeRxs9cAsKkwf6sfiL5M1kdsjeHsq
